plan,date,latitude,longitude,qty_notes
Plan A,2016-03-01,9.34824330387,-78.8526991851,22
Plan A,2016-03-01,9.35575796758,-79.0029587771,25
Plan A,2016-03-01,9.36381119413,-79.2918676504,15
Plan A,2016-03-01,9.36212335636,-78.8836947263,25
Plan A,2016-03-01,9.35166142018,-78.8124591623,21
Plan A,2016-03-01,9.35393981815,-78.8126162407,25
Plan A,2016-03-01,9.30158994029,-79.5140665581,17
Plan A,2016-03-01,9.34887791543,-79.2953795063,31
Plan A,2016-03-01,9.35187459791,-79.0878649644,23
Plan B,2016-03-01,9.36504178032,-78.8125899059,29
Plan B,2016-03-01,9.35432896643,-78.8533971456,36
Plan B,2016-03-01,9.36750704725,-78.8123710136,22
Plan B,2016-03-01,9.35275944163,-78.8537346834,23
Plan B,2016-03-01,9.36495689424,-78.884996842,25
Plan B,2016-03-01,9.303312464,-78.8115031629,22
Plan B,2016-03-01,9.34590681055,-78.8527693863,26
Plan B,2016-03-01,9.36823139873,-78.8536046682,28
Plan B,2016-03-01,9.35087484476,-78.8121410529,18
Plan C,2016-03-01,9.28190546606,-78.837835142,24
Plan C,2016-03-01,9.34907263393,-78.8835248441,20
Plan C,2016-03-01,9.35375950163,-78.8121121547,20
Plan C,2016-03-01,9.36433683805,-78.8537321063,26
Plan C,2016-03-01,9.35130240467,-78.8838092773,28
Plan C,2016-03-01,9.34845438354,-79.0874403526,27
Plan C,2016-03-01,9.35089998389,-78.8115893351,21
Plan C,2016-03-01,9.35030519106,-79.1314712054,35
Plan C,2016-03-01,9.36848172019,-79.0036077923,26
Plan D,2016-03-01,9.35707020811,-78.8382756841,30
Plan D,2016-03-01,9.35946957835,-78.9545664201,26
Plan D,2016-03-01,9.28361351735,-78.8117513401,17
Plan D,2016-03-01,9.35121330317,-78.9532857205,27
Plan D,2016-03-01,9.35092723537,-78.8375758676,29
Plan D,2016-03-01,9.35283897353,-78.8541996093,15
Plan D,2016-03-01,9.35036776355,-79.2127943938,35
Plan D,2016-03-01,9.36513183039,-78.8383045255,26
Plan D,2016-03-01,9.36512604479,-78.8840100935,29
Plan E,2016-03-01,9.35117843436,-78.8529925304,31
Plan E,2016-03-01,9.36080417955,-78.8385781378,32
Plan E,2016-03-01,9.35103760735,-78.8537324961,28
Plan E,2016-03-01,9.359495427,-78.8528468816,27
Plan E,2016-03-01,9.34510865778,-79.2656334976,33
Plan E,2016-03-01,9.3636120071,-78.9535193272,22
Plan E,2016-03-01,9.35212553043,-78.9547958229,27
Plan E,2016-03-01,9.36408769073,-79.3821960021,35
Plan E,2016-03-01,9.33845851916,-79.08681839,23
Plan F,2016-03-01,9.35084538916,-78.9539409317,31
Plan F,2016-03-01,9.36879280253,-78.8387382374,27
Plan F,2016-03-01,9.35202508333,-79.1318025054,23
Plan F,2016-03-01,9.35659920747,-78.8375809021,23
Plan F,2016-03-01,9.35637315593,-78.8375881883,23
Plan F,2016-03-01,9.36684908936,-78.8116811019,24
Plan F,2016-03-01,9.34911461953,-78.9531098449,26
Plan F,2016-03-01,9.36241575632,-79.3242644467,21
Plan F,2016-03-01,9.34947080294,-78.8537808829,34
Plan G,2016-03-01,9.34801479249,-78.8382821153,28
Plan G,2016-03-01,9.34623910433,-79.2127646702,31
Plan G,2016-03-01,9.35669744631,-78.8531683548,21
Plan G,2016-03-01,9.34840617906,-79.3623315696,30
Plan G,2016-03-01,9.36087664873,-78.9541301156,22
Plan G,2016-03-01,9.35702424742,-78.8117178825,20
Plan G,2016-03-01,9.35351668807,-78.8840545205,31
Plan G,2016-03-01,9.36103664906,-79.0866631709,22
Plan G,2016-03-01,9.36806043658,-79.0956010012,26
Plan A,2016-03-02,9.36363003588,-78.8377138126,34
Plan A,2016-03-02,9.36596126111,-79.0030192312,33
Plan A,2016-03-02,9.36275016408,-79.264284239,28
Plan A,2016-03-02,9.36837728976,-79.2649760128,23
Plan A,2016-03-02,9.36501972082,-79.323538565,17
Plan A,2016-03-02,9.35207156771,-79.086639511,20
Plan A,2016-03-02,9.36678077841,-78.9534408598,26
Plan A,2016-03-02,9.36004870361,-79.2129352718,29
