plan,date,latitude,longitude,qty_notes
Plan A,2016-03-01,7.93452466906,-80.109197604,34
Plan A,2016-03-01,8.08966237955,-80.8364944194,37
Plan A,2016-03-01,8.09051248159,-80.8365573669,51
Plan A,2016-03-01,8.12962350842,-81.018958632,18
Plan A,2016-03-01,8.1296400792,-81.0194740985,38
Plan A,2016-03-01,8.13086017389,-81.0184171814,10
Plan A,2016-03-01,8.14625834614,-81.6537833267,50
Plan A,2016-03-01,8.14644325874,-81.6546933886,27
Plan A,2016-03-01,8.14680023471,-81.6541540545,34
Plan A,2016-03-01,8.14686141199,-81.6550387114,8
Plan A,2016-03-01,8.15031697233,-80.6831722001,32
Plan A,2016-03-01,8.15268097807,-80.6840549762,18
Plan A,2016-03-01,8.15323077676,-80.6837246358,11
Plan A,2016-03-01,8.18928947032,-81.1891694987,40
Plan A,2016-03-01,8.2533597094,-80.5398879719,34
Plan A,2016-03-01,8.25622595122,-80.5405019445,30
Plan A,2016-03-01,8.27680926413,-80.5232829079,39
Plan A,2016-03-01,8.27850873566,-80.5231003819,40
Plan A,2016-03-01,8.28046256263,-80.5233409394,17
Plan A,2016-03-01,8.33944360459,-80.5200250358,34
Plan A,2016-03-01,8.34084524787,-80.5190700889,13
Plan A,2016-03-01,8.34100190673,-80.5192310318,22
Plan A,2016-03-01,8.39185973402,-80.2678625089,25
Plan A,2016-03-01,8.40892066124,-80.5179797092,41
Plan A,2016-03-01,8.40962205001,-80.5172925484,47
Plan A,2016-03-01,8.43092152299,-80.0579210801,23
Plan A,2016-03-01,8.43400630599,-80.4853467845,33
Plan A,2016-03-01,8.43596166216,-80.4845237441,42
Plan A,2016-03-01,8.43810116352,-80.3058920013,0
Plan A,2016-03-01,8.46757255757,-80.401470882,38
Plan A,2016-03-01,8.46789368269,-80.4017464712,14
Plan A,2016-03-01,8.48520017154,-79.9626658737,4
Plan A,2016-03-01,8.48575410659,-79.9623436244,28
Plan A,2016-03-01,8.48976068557,-80.2383445172,4
Plan A,2016-03-01,8.4901736918,-80.2384024526,11
Plan A,2016-03-01,8.49396691584,-80.3243647449,28
Plan A,2016-03-01,8.50657726727,-80.0231823047,8
Plan A,2016-03-01,8.51357667166,-80.0241341332,4
Plan A,2016-03-01,8.51600204581,-79.9413914131,13
Plan A,2016-03-01,8.51783288338,-80.3602207398,26
Plan A,2016-03-01,8.52044101053,-79.940691576,1
Plan A,2016-03-01,8.52111871008,-79.9413179955,20
Plan A,2016-03-01,8.52193780714,-80.3596672496,14
Plan A,2016-03-01,8.53141275322,-79.8930968913,25
Plan A,2016-03-01,8.53625338847,-79.8933847197,8
Plan A,2016-03-01,8.53744714341,-79.8931732027,13
Plan A,2016-03-01,8.54850094604,-80.0553616512,37
Plan A,2016-03-01,8.55604255343,-79.9238749198,19
Plan A,2016-03-01,8.56936743917,-80.0548691869,3
Plan A,2016-03-01,8.58704430486,-80.129917828,21
Plan A,2016-03-01,8.61189280771,-80.1304806988,11
Plan A,2016-03-01,8.62334675116,-80.1293559668,27
Plan A,2016-03-01,8.62755530056,-79.8851621066,43
Plan A,2016-03-01,8.67114909282,-79.8741591556,45
Plan A,2016-03-01,8.67388582422,-79.8736905237,17
Plan A,2016-03-01,8.6746377424,-79.8742620349,36
Plan A,2016-03-01,8.67546349113,-79.8735558746,48
Plan A,2016-03-01,8.71338554868,-79.8738759063,4
Plan A,2016-03-01,8.80495872123,-79.872852251,41
Plan A,2016-03-01,8.85231899426,-79.8236506063,5
Plan A,2016-03-01,8.86032590202,-79.7939196869,17
Plan A,2016-03-01,8.86064922021,-79.7948901974,38
Plan A,2016-03-01,8.8801294099,-79.7967659235,29
Plan A,2016-03-01,8.88816911945,-79.7615306032,44
Plan A,2016-03-01,8.89480438331,-79.7793519941,27
Plan A,2016-03-01,8.89526872245,-79.7797907316,19
Plan A,2016-03-01,8.89636768934,-79.7797610965,34
Plan A,2016-03-01,8.9143473999,-79.7349295336,36
Plan A,2016-03-01,8.91605560842,-79.697179016,8
Plan A,2016-03-01,8.92273843532,-79.5869005268,9
Plan A,2016-03-01,8.92289931281,-79.5860170911,15
Plan A,2016-03-01,8.9240326447,-79.5868604893,47
Plan A,2016-03-01,8.92466579222,-79.5867343438,41
Plan A,2016-03-01,8.92837762338,-79.6394553521,46
Plan A,2016-03-01,8.9297351587,-79.6402236922,36
Plan A,2016-03-01,8.93026011373,-79.6779276273,22
Plan A,2016-03-01,8.93304891527,-79.7128952643,28
Plan A,2016-03-01,8.94840554162,-79.6823619496,17
Plan A,2016-03-01,8.94844216115,-79.682300172,37
Plan A,2016-03-01,8.95071402859,-79.5620387202,29
Plan A,2016-03-01,8.95110607476,-79.5618176443,50
Plan A,2016-03-01,8.95549005209,-79.5860209067,5
